age,goal_time_minutes,goal_distance_km,experience_encoded,race_terrain_encoded,weeks_of_training,avg_weekly_miles_last_12w,peak_weekly_miles,avg_training_pace_min_per_mile,longest_run_miles,num_runs_20_plus,pct_miles_road,pct_miles_trail,pct_miles_track,adherence_pct,days_to_race,negative_sentiment_rate,actual_finish_time_minutes,met_goal
25.0,82.0,10.0,2.0,0.0,9.0,31.19,37.44,6.5,10.72,0.0,88.71,2.02,9.27,91.33,76.0,0.3936,81.6,1.0
43.0,41.0,10.0,2.0,1.0,16.0,14.62,19.48,7.77,6.26,0.0,9.77,66.04,24.19,75.85,31.0,0.0681,57.66,0.0
27.0,191.0,21.0975,0.0,1.0,14.0,23.24,31.62,10.25,13.46,0.0,64.49,35.32,0.18,85.47,76.0,0.0591,198.24,1.0
44.0,104.0,21.0975,1.0,0.0,18.0,27.18,36.78,8.216,8.25,0.0,68.76,9.91,21.34,68.4,52.0,0.0839,127.54,0.0
36.0,40.0,5.0,0.0,0.0,12.0,12.41,19.24,9.863,6.51,0.0,75.7,13.14,11.15,80.82,37.0,0.2662,42.22,1.0
32.0,243.0,42.195,1.0,0.0,22.0,27.77,39.43,8.763,21.03,0.0,70.97,14.55,14.48,74.87,53.0,0.0612,261.05,1.0
47.0,29.0,5.0,0.0,0.0,11.0,9.23,12.07,12.832,4.85,0.0,61.69,29.64,8.67,89.62,41.0,0.0444,39.75,0.0
22.0,188.0,21.0975,0.0,0.0,12.0,22.08,33.17,9.947,14.61,0.0,96.36,0.92,2.71,76.16,84.0,0.1659,168.88,1.0
40.0,269.0,42.195,1.0,0.0,14.0,32.53,40.22,8.911,14.56,4.0,62.23,36.65,1.12,67.29,89.0,0.1896,267.4,1.0
55.0,89.0,10.0,1.0,0.0,8.0,25.12,36.55,7.946,6.74,0.0,78.48,6.53,14.98,68.72,80.0,0.1027,87.94,1.0
22.0,36.0,5.0,1.0,0.0,12.0,11.55,14.0,9.457,7.58,0.0,69.49,27.41,3.09,87.86,26.0,0.1214,36.97,1.0
35.0,192.0,21.0975,0.0,0.0,11.0,39.92,48.99,8.231,15.46,0.0,85.26,14.3,0.45,96.47,78.0,0.2219,168.52,1.0
25.0,337.0,42.195,0.0,0.0,15.0,52.46,59.33,8.546,13.05,1.0,92.29,4.05,3.65,100.0,43.0,0.1329,243.29,1.0
32.0,41.0,5.0,1.0,0.0,6.0,12.31,17.87,8.38,6.52,0.0,62.4,33.07,4.54,100.0,83.0,0.4095,43.56,0.0
45.0,203.0,42.195,2.0,2.0,16.0,51.06,60.74,6.5,19.79,4.0,80.12,7.02,12.86,99.66,80.0,0.1394,178.45,1.0
37.0,80.0,10.0,0.0,0.0,10.0,19.33,21.83,11.545,11.5,0.0,60.42,18.36,21.21,87.27,55.0,0.2751,79.09,1.0
53.0,110.0,21.0975,0.0,1.0,16.0,33.45,48.08,8.632,15.67,0.0,15.31,65.12,19.57,73.61,87.0,0.223,142.06,0.0
54.0,179.0,21.0975,1.0,0.0,18.0,34.27,37.99,8.677,8.96,0.0,78.96,10.58,10.47,75.15,29.0,0.2618,165.42,1.0
54.0,215.0,42.195,0.0,0.0,13.0,46.82,51.23,10.585,19.8,3.0,55.86,19.47,24.67,92.28,81.0,0.2592,209.4,1.0
